Donor ID,Donor City,Donor State,Donor Is Teacher,Donor Zip
09762b95beeebf373350f5c5d7cce352,Spanish Fork,other,No,846
0c47295a9944e27b83635049227da61e,,Utah,No,
d58e0de79e4530c2dca3816da98513b7,New York,New York,No,100
f91e212cb706479a8770a6af883413f3,Las Vegas,Nevada,No,891
a0a11cc31b74779c756f9c4c12c06519,,Ohio,No,
dca9a61c4a222fe516aa7900a95bc369,Mesa,Arizona,Yes,852
50dc2c5f8f5df48907bddb655ad10ffd,Alexandria,Virginia,No,223
0cb37e6c8fb2430fc2a384fe34684660,,Pennsylvania,No,
77451414642cb6ee22498895b8e0677b,Durham,North Carolina,No,277
faa6b1a865928e5c15e869769da3fa5e,Pittsburgh,Pennsylvania,No,152
4763ff5630b50ad0321d93d0280b284f,,Georgia,Yes,
3fb008ec92c5bc8464f00e0aa95fa06f,Sandy,Utah,No,840
9030c5828e833cc8eeff6bd204a78d66,Sandy,Utah,No,840
b427a3a9ac9345ff3e4a6387597902f0,Riverton,Utah,No,840
bf76dd6c1221b04638527982348da5a5,Houston,Texas,No,770
dab5291bb6e7eeb83a69ea75d9e7d775,Sandy,Utah,No,840
3f94e83e16b70c28b297fc8b2ec2b915,Lehi,Utah,No,840
f2d350c11ecf95f6bc2948d2acc0be83,Sandy,Utah,No,840
ce79064e567228dfd5723cc0217bdd02,American Fork,Utah,Yes,840
002bbac0bd953ceb439015625f508d2d,,Utah,No,
e68d79441f94b27059c210c0fb6619d5,Sandy,Utah,No,840
437df43171698f44a3afba8ab47eb606,Ogden,Utah,No,844
200b879b6753055b62fb2e98838cb774,South Jordan,Utah,No,840
62524580005758964688fc83ecae67d9,Salt Lake City,Utah,Yes,841
5b6607a5af96930a12f4e4fbbde3caa1,Salt Lake City,Utah,No,841
bacee930672c324ec9211acb58eb4ffc,Mountain View,California,No,940
8a1926220cbac4937f7a66464154738f,Sandy,Utah,No,840
9bedecd6830dc55ad9b0f6a449298ca4,Sandy,Utah,No,840
23d1d0b87334feef878baef5f743f23d,Sandy,Utah,No,840
8aa53e89b1d485c989f76d339728dd95,Salt Lake City,Utah,Yes,841
95262dcdba0a181689088e8caf3bdbd8,,Utah,No,
561cbf3f1c93da656b6313fd5ecaaeb2,Arbuckle,California,Yes,959
10351386a82349630aa0379cd2fb32b4,Provo,Utah,No,846
ab651b227cd1411faa96c883bd9325e9,Winston Salem,North Carolina,No,271
31f639e0f0dcba40850496e2c511a730,Draper,Utah,No,840
b4101c799c7ab3c3423515bcc199c301,Draper,Utah,No,840
ea0b93c5cfc6b33e61512fd4b002e7f4,Draper,Utah,No,840
3c98cdbff4a4887e9ab322c522a56004,Draper,Utah,No,840
dfdaf0991ca0c2db0b01a3c18f7633af,South Jordan,Utah,No,840
4b7dfa481ef824ed84201dbe9b37c0ea,Draper,Utah,No,840
3fa65c3157e63778959aa3a5f0b0c81d,American Fork,Utah,No,840
18e69f1aabfee86800500ae9a7c9d8a1,American Fork,Utah,No,840
2d7fe8c4ee742173fb3b9579b5f49acc,Draper,Utah,No,840
58882986697c9b7f1e9f0c07a9a7e01a,Draper,Utah,No,840
609841e0a5fa288b2fc7008cd7c5c05f,Draper,Utah,No,840
4c4de7b0dcfa62519dfc39022595c421,Draper,Utah,No,840
713c7c1f6d5a8e0cbae36d0cb7935e74,Draper,Utah,No,840
e32a75a1d73b7728da07f2052f6b530a,Draper,Utah,No,840
98dd0d2d62c89c9ffd005092b54255c1,Draper,Utah,No,840
84dbbfa0656b82938c696ea05702f3c6,Draper,Utah,No,840
bd4e952c8511fd1ee785067488ef8312,Draper,Utah,No,840
4d357352aefd213bf107ad199b06272b,Draper,Utah,No,840
3a3d9c5ced4b22ab3ffdd5db86ef703c,Draper,Utah,No,840
ea0ac061d7faa8476f396832f36aac57,Draper,Utah,No,840
27bb89833890782da55ffdd176dabf08,Draper,Utah,No,840
5235f05579808701dbf10d008c893786,Draper,Utah,No,840
f9f73431fa9ff0c80eefbf2015ff66a9,Vacaville,California,Yes,956
837bd995fcf87355042c38ebdcaab890,Draper,Utah,No,840
ff42b99bcc012b74ce5eb64305831f78,Draper,Utah,No,840
aec72d7d0a1db3090d65db587dd1482e,Paulding,Ohio,No,458
45d28cfd63815d28ebaae7ba6d52d226,Salt Lake City,Utah,No,841
2bd89c4717b84ac3393a8c5ae1940640,Riverton,Utah,No,840
79a88a3e42cc6fe4a7dd0e1d1cf326ff,Irving,Texas,No,750
e756407515b5958294436e94adaf57e8,Spring City,Utah,No,846
3e92bb19b648c56236b55e6ca352149f,Germantown,Maryland,No,208
0694bb78bafebfeedb414bc6b38f0497,Sandy,Utah,No,840
11433176f58838821ee998935c87f501,Kaysville,Utah,No,840
2be295bc1f0b85ae0a8191ad1053cc47,Layton,Utah,No,840
e6ee83af2e6644cd2529c9f60469f28c,Layton,Utah,No,840
14b441039663876a8a6dd34f4ae972c6,Layton,Utah,No,840
0b403eae7fca2ca2c1b75d69d678fa0a,Kaysville,Utah,No,840
584be89ab6297a389f70ea759e86a302,Sandy,Utah,No,840
9fa29af6f2263430dd4cc37078ccbd73,Salt Lake City,Utah,No,841
cc4de7905783fc3d803e483622bac668,Sandy,Utah,No,840
8c5aa93e2e8e3f6b69d766d31be7f90f,Sandy,Utah,No,840
04d5e24e35db43d1566f78a21c548d15,,Utah,No,
954a73229626c77e99c6eee90fae3ef9,Sandy,Utah,No,840
0019d8f190bc08c7f5c8f3f7f32be716,Sandy,Utah,No,840
cb48b679609ba8f20ce4d9e86ae1fc4a,Sandy,Utah,No,840
c009b196245608640f8d98a8b4f97237,Sandy,Utah,No,840
37f586517f6fe123c3969266a4ee1872,Sandy,Utah,No,840
dff4130f5b16808ecfe28d736c5872ab,Sandy,Utah,No,840
3b5ade6397e63988225c80811772f4e7,Sandy,Utah,No,840
54ab33c70382b8b222cda186dcd885fb,Sandy,Utah,No,840
1345a62f0b71496158f02a21863befd9,Sandy,Utah,No,840
501b0c934466c0e42a4320db81829aee,South Jordan,Utah,No,840
854a09f7cadb8f763a66692e7d304d4f,South Jordan,Utah,No,840
6686045a083f74d2ca197c5f14c6aa5c,South Jordan,Utah,No,840
fcec194a3ddc1d05af8b8763da0cd159,,other,No,
3ba604d1489030b60b02b27df5374665,South Jordan,Utah,No,840
941178c0860e38961cc93bd581b48383,South Jordan,Utah,No,840
c399a2824d131353810a8b305a333e97,South Jordan,Utah,No,840
7b6aa4614c5c21efd47d5cbead918421,South Jordan,Utah,No,840
1be5c7ffd4f314e52d63f95053efde76,South Jordan,Utah,No,840
007d5c24499bad3846694dec1536e99e,Riverton,Utah,No,840
7cd8e7ea3c363cdd8d7c79523c0e932b,South Jordan,Utah,No,840
0112691dfed51e3588b69cf1b796f152,South Jordan,Utah,No,840
e4143fc81031b19a2d2fb204216e5d68,South Jordan,Utah,No,840
49a45410b1f44a5e34ab033f96668827,South Jordan,Utah,No,840
cf17a41fc0673bbb05f59b2b0684fb12,South Jordan,Utah,No,840
710abdc8cfc11769b132d32e3d2b6bb1,South Jordan,Utah,No,840
bdd3b26fba512f4e1b922e3005816331,South Jordan,Utah,No,840
f3c10c03d80d9eb9a67357716661ab3f,,other,No,840
4f13b29f424be25245bd5b091a5d27f1,South Jordan,Utah,No,840
d8ee0be86f726db817eb425cf0307c37,South Jordan,Utah,No,840
733e0f2d3db401f05b0057c4e60fad1a,South Jordan,Utah,No,840
9d05be93e39c62068d5a68bb528ebd11,South Jordan,Utah,No,840
